CustomerID,Count,Country,State,City,Zip_Code,Lat_Long,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Reason
0384-RVBPI,1,United States,California,Turlock,95380,"37.474396, -120.875917",37.474396,-120.875917,Male,No,No,No,20,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),64.4,1398.6,No,0,80,2120,
3669-WHAFY,1,United States,California,Whittier,90604,"33.929704, -118.01208",33.929704,-118.01208,Female,No,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),115.15,8078.1,No,0,24,4144,
1465-LNTLJ,1,United States,California,Santa Barbara,93109,"34.406256, -119.726936",34.406256,-119.726936,Male,Yes,Yes,No,8,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),64.4,581.7,No,0,78,4537,
2351-BKRZW,1,United States,California,Gilroy,95020,"37.03889, -121.528955",37.03889,-121.528955,Female,No,Yes,Yes,43,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),75.2,3254.35,No,0,23,3976,
1575-KRZZE,1,United States,California,Murphys,95247,"38.147852, -120.440124",38.147852,-120.440124,Female,No,No,No,4,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,55.2,220.65,No,0,74,4042,
4146-SVFUD,1,United States,California,Modesto,95351,"37.621458, -121.012295",37.621458,-121.012295,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.6,44.6,No,0,77,4864,
6322-PJJDJ,1,United States,California,Markleeville,96120,"38.735789, -119.85798",38.735789,-119.85798,Male,No,Yes,No,49,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,94.8,4690.65,No,0,29,4252,
6656-JWRQX,1,United States,California,San Diego,92124,"32.827238, -117.089287",32.827238,-117.089287,Female,No,No,No,1,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,30.55,30.55,No,0,57,5565,
7446-KQISO,1,United States,California,Visalia,93292,"36.37559, -119.211689",36.37559,-119.211689,Male,No,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.75,4900.65,No,0,38,4221,
9938-TKDGL,1,United States,California,Llano,93544,"34.500091, -117.765862",34.500091,-117.765862,Male,No,Yes,Yes,68,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,99.55,6668,No,0,20,4319,
9625-RZFUK,1,United States,California,Alameda,94502,"37.724817, -122.224363",37.724817,-122.224363,Male,No,Yes,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.7,1275.85,No,0,63,4235,
5227-JSCFE,1,United States,California,Scotts Valley,95066,"37.070177, -122.010077",37.070177,-122.010077,Male,Yes,Yes,No,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),46.35,3353.4,No,0,28,5421,
5372-FBKBN,1,United States,California,San Jose,95111,"37.284265, -121.827673",37.284265,-121.827673,Female,No,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.75,452.2,No,0,39,2143,
8065-BVEPF,1,United States,California,Yorkville,95494,"38.888351, -123.239647",38.888351,-123.239647,Male,Yes,No,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.1,6496.15,No,0,52,4574,
0533-UCAAU,1,United States,California,Montgomery Creek,96065,"40.877552, -121.885884",40.877552,-121.885884,Male,Yes,Yes,No,57,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),71.1,4140.1,No,0,40,5462,
9927-DSWDF,1,United States,California,Palos Verdes Peninsula,90274,"33.788208, -118.404955",33.788208,-118.404955,Male,No,Yes,No,22,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.6,2180.55,No,0,68,2429,
5317-FLPJF,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Female,No,No,No,66,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),61.35,4193.4,No,0,67,4824,
0027-KWYKW,1,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869626,-119.498771,Female,No,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,1849.95,No,0,78,3585,
1116-FRYVH,1,United States,California,Kingsburg,93631,"36.478239, -119.52137",36.478239,-119.52137,Female,No,Yes,Yes,48,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,39.4,1978.65,No,0,26,5701,
0787-LHDYT,1,United States,California,Carmel Valley,93924,"36.414611, -121.6386",36.414611,-121.6386,Male,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.6,330.25,No,0,64,5667,
2220-IAHLS,1,United States,California,Modesto,95356,"37.716186, -121.025836",37.716186,-121.025836,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.4,19.4,No,0,21,5566,
4277-BWBML,1,United States,California,Three Rivers,93271,"36.413433, -118.854708",36.413433,-118.854708,Male,No,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.95,1322.85,No,0,56,5092,
3200-MNQTF,1,United States,California,Raisin City,93652,"36.594542, -119.905245",36.594542,-119.905245,Male,No,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),70.9,4677.1,No,0,80,4361,
1229-RCALF,1,United States,California,San Jose,95117,"37.311088, -121.961786",37.311088,-121.961786,Female,No,Yes,No,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,115.0,7396.15,No,0,45,5189,
9052-DHNKM,1,United States,California,Redondo Beach,90277,"33.830453, -118.384565",33.830453,-118.384565,Male,No,No,No,26,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,61.55,1581.95,No,0,30,5156,
6506-EYCNH,1,United States,California,Montclair,91763,"34.072121, -117.698319",34.072121,-117.698319,Female,No,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.55,543.8,No,0,41,3948,
9483-GCPWE,1,United States,California,Earp,92242,"34.137742, -114.36514",34.137742,-114.36514,Male,No,No,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,190.25,No,0,20,3444,
7995-ZHHNZ,1,United States,California,Fullerton,92832,"33.868316, -117.929029",33.868316,-117.929029,Male,No,Yes,No,42,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),56.1,2386.85,No,0,69,5904,
8263-OKETD,1,United States,California,Caruthers,93609,"36.5276, -119.865999",36.5276,-119.865999,Female,No,No,No,20,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),68.9,1370.35,No,0,29,3265,
7733-UDMTP,1,United States,California,Fresno,93726,"36.793601, -119.761131",36.793601,-119.761131,Female,Yes,No,No,57,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.0,3094.05,No,0,76,4622,
1506-YJTYT,1,United States,California,Oakley,94561,"37.999406, -121.686241",37.999406,-121.686241,Male,No,Yes,Yes,45,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),73.85,3371,No,0,76,5264,
3806-YAZOV,1,United States,California,Lagunitas,94938,"38.021772, -122.691744",38.021772,-122.691744,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.8,56,No,0,67,3010,
3011-WQKSZ,1,United States,California,Foresthill,95631,"39.031876, -120.811141",39.031876,-120.811141,Male,No,No,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.0,377.55,No,0,31,5188,
7402-PWYJJ,1,United States,California,Sacramento,95841,"38.660442, -121.346321",38.660442,-121.346321,Female,No,Yes,No,53,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,91.15,4862.5,No,0,44,6439,
8878-RYUKI,1,United States,California,Long Beach,90803,"33.760458, -118.129725",33.760458,-118.129725,Female,No,No,No,52,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,59.45,3043.7,No,0,40,6107,
1156-ZFYDO,1,United States,California,Glendale,91201,"34.17051, -118.289463",34.17051,-118.289463,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.75,19.75,No,0,38,3666,
5928-QLDHB,1,United States,California,San Fernando,91340,"34.286131, -118.435969",34.286131,-118.435969,Male,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.25,684.85,No,0,62,2062,
8132-YPVBX,1,United States,California,Salinas,93907,"36.77462, -121.664714",36.77462,-121.664714,Female,No,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,85.95,514.6,No,0,80,3291,
6907-CQGPN,1,United States,California,Oakland,94612,"37.809014, -122.269739",37.809014,-122.269739,Male,No,No,No,29,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,34.3,1004.75,No,0,65,2555,
4747-LCAQL,1,United States,California,Los Angeles,90037,"34.002642, -118.287596",34.002642,-118.287596,Male,No,No,No,25,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,79.0,1902,No,0,52,5263,
1785-BPHTP,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,Male,No,Yes,Yes,28,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,85.45,2289.9,No,0,26,4022,
6500-JVEGC,1,United States,California,Lakewood,90715,"33.841027, -118.078097",33.841027,-118.078097,Male,No,No,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),101.35,7110.75,No,0,60,4941,
4013-GUXND,1,United States,California,Lancaster,93534,"34.727529, -118.153098",34.727529,-118.153098,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.8,20.8,No,0,38,3678,
1352-VHKAJ,1,United States,California,Berkeley,94709,"37.878554, -122.26609",37.878554,-122.26609,Male,No,Yes,Yes,27,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),71.6,1957.1,No,0,52,3773,
2796-UUZZO,1,United States,California,Redding,96002,"40.527834, -122.318749",40.527834,-122.318749,Male,No,Yes,Yes,63,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.3,4896.35,No,0,66,5157,
2626-VEEWG,1,United States,California,Sun City,92587,"33.69887, -117.25071",33.69887,-117.25071,Male,No,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.4,1284.2,No,0,70,4890,
6484-LATFU,1,United States,California,Linden,95236,"38.047746, -121.030499",38.047746,-121.030499,Male,No,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.55,1657.4,No,0,31,6042,
9313-CDOGY,1,United States,California,Imperial Beach,91932,"32.579134, -117.119009",32.579134,-117.119009,Male,No,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.6,717.3,No,0,34,3854,
5442-BXVND,1,United States,California,San Diego,92117,"32.825086, -117.199424",32.825086,-117.199424,Female,No,Yes,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.25,838.5,No,0,73,5531,
0377-JBKKT,1,United States,California,Gilroy,95020,"37.03889, -121.528955",37.03889,-121.528955,Male,No,Yes,Yes,22,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,57.95,1271.8,No,0,41,5036,
3633-CDBUW,1,United States,California,Midpines,95345,"37.581496, -119.972762",37.581496,-119.972762,Male,No,No,Yes,17,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,80.85,1445.95,No,0,24,3913,
